sentence,classifed
Boring blade leaving hairs on tank,
changeover,
Breakerplate change,
"C1 regrind over temp, main breaker alarm",
"safety pin alarm, left side pin stuck",
"n/g filler lower, expander pins not adjusted ",
Breather Weld part hotplate change,
